Machine ID,Serial No.,Product Name,Product Type,Usage Pattern,Age of Equipment (months),Operational Temperature,Humidity/Pressure,Exposure to Chemicals,Govt Approved Standards,Availability of Spare Parts,No. of Spare Parts,Service Maintenance (months),,,,,,,,,,,
MACH029,SN012345,Oxygen Concentrator,Type-3,High,44,18-22°C,40-60% RH,Yes,Yes,Yes,30,9,,,,,,,,,,,
MACH030,SN678901,C-arm,Type-2,Moderate,20,20-24°C,45-55% RH,Yes,Yes,Yes,25,6,,,,,,,,,,,
MACH031,SN234567,ECG Machine,Type-2,Moderate,24,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH032,SN890123,MRI Machine,Type-3,High,34,18-22°C,40-60% RH,Yes,Yes,Yes,25,6,,,,,,,,,,,Bar Graph
MACH033,SN456789,Ultrasound Scanner,Type-1,Low,28,22-26°C,40-50% RH,No,Yes,Yes,22,4,,,,,,,,,,,
MACH034,SN012345,Anesthesia Machine,Type-3,High,40,18-22°C,35-45% RH,Yes,Yes,Yes,30,9,,,,,,,,,,,
MACH035,SN678901,Ventilator,Type-2,Moderate,16,20-24°C,40-60% RH,Yes,Yes,Yes,20,3,,,,,,,,,,,
MACH036,SN234567,ECG Machine,Type-2,Low,22,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH037,SN890123,Defibrillator,Type-2,High,32,18-22°C,35-45% RH,Yes,Yes,Yes,15,12,,,,,,,,,,,
MACH038,SN456789,Blood Gas Analyzer,Type-1,Low,24,22-26°C,40-50% RH,No,Yes,Yes,22,4,,,,,,,,,,,
MACH039,SN012345,Infusion Pump,Type-2,Moderate,18,20-24°C,45-55% RH,Yes,Yes,Yes,28,6,,,,,,,,,,,
MACH040,SN678901,Laboratory Centrifuge,Type-1,High,14,22-26°C,40-50% RH,No,Yes,Yes,20,8,,,,,,,,,,,
MACH041,SN234567,Surgical Robot,Type-3,Low,30,18-22°C,40-60% RH,Yes,Yes,Yes,35,9,,,,,,,,,,,
MACH042,SN890123,Dialysis Machine,Type-2,High,26,20-24°C,45-55% RH,Yes,Yes,Yes,25,12,,,,,,,,,,,
MACH043,SN456789,CT Scanner,Type-3,Moderate,12,18-22°C,40-60% RH,Yes,Yes,Yes,30,12,,,,,,,,,,,
MACH044,SN012345,Endoscope,Type-1,Low,38,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH045,SN678901,Patient Monitor,Type-2,High,18,20-24°C,45-55% RH,Yes,Yes,Yes,20,6,,,,,,,,,,,
MACH046,SN234567,Electrocardiograph (ECG),Type-2,Moderate,20,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH047,SN890123,Gamma Camera,Type-3,Low,26,18-22°C,40-60% RH,Yes,Yes,Yes,30,12,,,,,,,,,,,
MACH048,SN456789,Incubator,Type-2,High,16,20-24°C,45-55% RH,Yes,Yes,Yes,25,12,,,,,,,,,,,Scatter plot
MACH049,SN012345,Microscope,Type-1,Moderate,22,22-26°C,40-50% RH,No,Yes,Yes,20,8,,,,,,,,,,,
MACH050,SN678901,Pulse Oximeter,Type-2,Low,30,20-24°C,45-55% RH,Yes,Yes,Yes,18,6,,,,,,,,,,,
MACH051,SN234567,Syringe Pump,Type-1,High,36,22-26°C,40-50% RH,No,Yes,Yes,15,8,,,,,,,,,,,
MACH052,SN890123,Tourniquet System,Type-2,Low,14,20-24°C,45-55% RH,Yes,Yes,Yes,10,3,,,,,,,,,,,
MACH053,SN456789,Wheelchair,Type-1,High,40,Indoor use,N/A,No,Yes,Yes,0,0,,,,,,,,,,,
MACH054,SN012345,Surgical Light,Type-3,Low,30,18-22°C,40-60% RH,Yes,Yes,Yes,25,9,,,,,,,,,,,
MACH055,SN678901,Blood Pressure Monitor,Type-2,Moderate,20,20-24°C,45-55% RH,Yes,Yes,Yes,18,6,,,,,,,,,,,
MACH056,SN234567,Suction Machine,Type-1,Low,24,22-26°C,40-50% RH,No,Yes,Yes,20,6,,,,,,,,,,,
MACH057,SN890123,Nebulizer,Type-2,High,36,20-24°C,45-55% RH,Yes,Yes,Yes,15,12,,,,,,,,,,,
MACH058,SN456789,Fetal Monitor,Type-1,Moderate,32,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH059,SN012345,Glucose Meter,Type-2,High,18,20-24°C,45-55% RH,Yes,Yes,Yes,20,6,,,,,,,,,,,
MACH060,SN678901,Infusion Pump,Type-1,Moderate,24,22-26°C,40-50% RH,No,Yes,Yes,20,8,,,,,,,,,,,
MACH061,SN234567,Oxygen Concentrator,Type-3,Low,38,18-22°C,40-60% RH,Yes,Yes,Yes,30,9,,,,,,,,,,,
MACH062,SN890123,C-arm,Type-2,High,26,20-24°C,45-55% RH,Yes,Yes,Yes,25,12,,,,,,,,,,,
MACH063,SN456789,ECG Machine,Type-2,Moderate,28,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH064,SN012345,MRI Machine,Type-3,High,30,18-22°C,40-60% RH,Yes,Yes,Yes,25,6,,,,,,,,,,,Pie Chart
MACH065,SN678901,Ultrasound Scanner,Type-1,Low,36,22-26°C,40-50% RH,No,Yes,Yes,22,4,,,,,,,,,,,
MACH066,SN234567,Anesthesia Machine,Type-3,High,22,18-22°C,35-45% RH,Yes,Yes,Yes,30,9,,,,,,,,,,,
MACH067,SN890123,Ventilator,Type-2,Moderate,20,20-24°C,40-60% RH,Yes,Yes,Yes,20,3,,,,,,,,,,,
MACH068,SN456789,ECG Machine,Type-2,Low,26,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH069,SN012345,Defibrillator,Type-2,High,30,18-22°C,35-45% RH,Yes,Yes,Yes,15,12,,,,,,,,,,,
MACH070,SN678901,Blood Gas Analyzer,Type-1,Low,22,22-26°C,40-50% RH,No,Yes,Yes,22,4,,,,,,,,,,,
MACH071,SN234567,Infusion Pump,Type-2,Moderate,24,20-24°C,45-55% RH,Yes,Yes,Yes,28,6,,,,,,,,,,,
MACH072,SN890123,Laboratory Centrifuge,Type-1,High,20,22-26°C,40-50% RH,No,Yes,Yes,20,8,,,,,,,,,,,
MACH073,SN456789,Surgical Robot,Type-3,Low,26,18-22°C,40-60% RH,Yes,Yes,Yes,35,9,,,,,,,,,,,
MACH074,SN012345,Dialysis Machine,Type-2,High,24,20-24°C,45-55% RH,Yes,Yes,Yes,25,12,,,,,,,,,,,
MACH075,SN678901,CT Scanner,Type-3,Moderate,18,18-22°C,40-60% RH,Yes,Yes,Yes,30,12,,,,,,,,,,,
MACH076,SN234567,Endoscope,Type-1,Low,34,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH077,SN890123,Patient Monitor,Type-2,High,22,20-24°C,45-55% RH,Yes,Yes,Yes,20,6,,,,,,,,,,,
MACH078,SN456789,Electrocardiograph (ECG),Type-2,Moderate,30,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH079,SN012345,Gamma Camera,Type-3,Low,22,18-22°C,40-60% RH,Yes,Yes,Yes,30,12,,,,,,,,,,,
MACH080,SN678901,Incubator,Type-2,High,28,20-24°C,45-55% RH,Yes,Yes,Yes,25,12,,,,,,,,,,,
MACH081,SN234567,Microscope,Type-1,Moderate,26,22-26°C,40-50% RH,No,Yes,Yes,20,8,,,,,,,,,,,
MACH082,SN890123,Pulse Oximeter,Type-2,Low,32,20-24°C,45-55% RH,Yes,Yes,Yes,18,6,,,,,,,,,,,
MACH083,SN456789,Syringe Pump,Type-1,High,30,22-26°C,40-50% RH,No,Yes,Yes,15,8,,,,,,,,,,,
MACH084,SN012345,Tourniquet System,Type-2,Low,18,20-24°C,45-55% RH,Yes,Yes,Yes,10,3,,,,,,,,,,,
MACH085,SN678901,Wheelchair,Type-1,High,36,Indoor use,N/A,No,Yes,Yes,0,0,,,,,,,,,,,
MACH086,SN234567,Surgical Light,Type-3,Low,32,18-22°C,40-60% RH,Yes,Yes,Yes,25,9,,,,,,,,,,,
MACH087,SN890123,Blood Pressure Monitor,Type-2,Moderate,20,20-24°C,45-55% RH,Yes,Yes,Yes,18,6,,,,,,,,,,,
MACH088,SN456789,Suction Machine,Type-1,Low,24,22-26°C,40-50% RH,No,Yes,Yes,20,6,,,,,,,,,,,
MACH089,SN012345,Nebulizer,Type-2,High,36,20-24°C,45-55% RH,Yes,Yes,Yes,15,12,,,,,,,,,,,
MACH090,SN678901,Fetal Monitor,Type-1,Moderate,30,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH091,SN234567,Glucose Meter,Type-2,High,28,20-24°C,45-55% RH,Yes,Yes,Yes,20,6,,,,,,,,,,,
MACH092,SN890123,Infusion Pump,Type-1,Moderate,24,22-26°C,40-50% RH,No,Yes,Yes,20,8,,,,,,,,,,,
MACH093,SN456789,Laboratory Centrifuge,Type-1,High,26,22-26°C,40-50% RH,No,Yes,Yes,20,8,,,,,,,,,,,
MACH094,SN012345,Surgical Robot,Type-3,Low,32,18-22°C,40-60% RH,Yes,Yes,Yes,35,9,,,,,,,,,,,
MACH095,SN678901,Dialysis Machine,Type-2,High,28,20-24°C,45-55% RH,Yes,Yes,Yes,25,12,,,,,,,,,,,
MACH096,SN234567,CT Scanner,Type-3,Moderate,18,18-22°C,40-60% RH,Yes,Yes,Yes,30,12,,,,,,,,,,,
MACH097,SN890123,Endoscope,Type-1,Low,34,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH098,SN456789,Patient Monitor,Type-2,High,22,20-24°C,45-55% RH,Yes,Yes,Yes,20,6,,,,,,,,,,,
MACH099,SN012345,Electrocardiograph (ECG),Type-2,Moderate,24,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH100,SN678901,Gamma Camera,Type-3,Low,26,18-22°C,40-60% RH,Yes,Yes,Yes,30,12,,,,,,,,,,,
